Date,Open,High,Low,Close,Adj Close,Volume
2018-05-30,25.340000,25.680000,25.139999,25.473301,24.270704,196200
2018-06-01,25.500000,26.053301,25.246700,25.766701,24.564720,153600
2018-06-04,25.946699,26.320000,25.940001,26.139999,24.920601,114300
2018-06-05,26.000000,26.213301,25.333300,25.440001,24.253256,168750
2018-06-06,25.606701,25.606701,24.833300,24.900000,23.738447,221550
2018-06-07,24.713301,24.719999,23.366699,24.660000,23.509647,421200
2018-06-08,24.726700,24.799999,23.933300,24.393299,23.255384,151200
2018-06-11,24.666700,25.066700,23.733299,23.840000,22.727896,141450
2018-06-12,23.993299,24.100000,23.600000,23.893299,22.778711,122250
2018-06-13,24.093300,24.093300,23.059999,23.406700,22.314806,212850
2018-06-14,23.533300,23.620001,22.733299,22.740000,21.679211,235350
2018-06-15,22.799999,23.100000,22.400000,23.100000,22.022415,177900
2018-06-18,23.100000,23.100000,22.373301,22.526699,21.475857,151800
2018-06-19,22.333300,23.706699,22.333300,23.660000,22.556292,400200
2018-06-20,23.986700,24.146700,23.366699,23.833300,22.721506,332550
2018-06-21,23.993299,23.993299,23.160000,23.233299,22.149494,108600
2018-06-22,23.413300,23.666700,23.033300,23.366699,22.276667,226350
2018-06-25,23.386700,23.580000,22.746700,23.373301,22.282965,124350
2018-06-26,23.373301,23.799999,23.139999,23.266701,22.181339,111450
2018-06-27,23.286699,23.453300,22.920000,22.920000,21.850811,92400
2018-06-28,22.700001,23.593300,22.700001,23.493299,22.397364,102900
2018-06-29,23.473301,23.993299,23.473301,23.933300,22.816841,99600
2018-07-02,23.920000,23.933300,23.559999,23.853300,22.754835,77400
2018-07-03,24.153299,24.593300,24.000000,24.546700,23.416304,160500
2018-07-04,24.559999,24.760000,24.533300,24.733299,23.594309,57450
2018-07-05,25.000000,25.000000,24.406700,24.593300,23.460760,75750
2018-07-06,24.593300,24.799999,24.413300,24.540001,23.409918,59700
2018-07-10,24.500000,25.066700,24.500000,25.066700,23.912359,87900
2018-07-11,24.806700,25.093300,24.799999,25.006701,23.855122,61050
2018-07-12,25.100000,25.260000,25.013300,25.200001,24.039516,65100
2018-07-13,25.333300,25.840000,25.139999,25.713301,24.529179,85650
2018-07-16,25.713301,26.026699,25.559999,25.846701,24.656437,95550
2018-07-17,25.886700,26.660000,25.766701,26.593300,25.368656,150450
2018-07-18,26.360001,26.580000,26.180000,26.466700,25.247885,62850
2018-07-19,26.333300,26.333300,25.866699,26.200001,24.993467,152100
2018-07-20,26.513300,27.180000,26.513300,27.100000,25.852022,131100
2018-07-23,27.200001,27.200001,26.253300,26.520000,25.298729,320550
2018-07-24,27.066700,27.066700,26.620001,26.820000,25.584919,110850
2018-07-25,26.793301,27.466700,26.793301,27.326700,26.068281,131700
2018-07-26,27.333300,27.373301,26.780001,26.986700,25.743942,104550
2018-07-27,27.006701,27.333300,26.906700,27.073299,25.826555,94350
2018-07-30,27.166700,27.660000,27.066700,27.473301,26.208134,294750
2018-07-31,27.286699,27.400000,26.533300,26.666700,25.438677,360000
2018-08-01,26.453300,26.926701,26.453300,26.879999,25.656586,82200
2018-08-02,26.853300,27.146700,26.520000,26.746700,25.529352,194100
2018-08-03,26.926701,27.333300,26.873301,27.333300,26.089254,141150
2018-08-06,27.333300,27.333300,26.973301,27.000000,25.771122,77550
2018-08-07,27.033300,27.320000,26.693300,27.033300,25.802906,63900
2018-08-08,27.033300,27.219999,26.466700,26.466700,25.262093,74700
2018-08-09,26.533300,26.879999,26.200001,26.400000,25.198431,92700
2018-08-10,26.306700,26.306700,25.486700,25.639999,24.473019,231600
2018-08-13,25.633301,25.873301,25.286699,25.826700,24.651224,251400
2018-08-14,25.826700,26.400000,25.826700,26.400000,25.198431,65550
2018-08-15,26.059999,26.273300,25.799999,26.066700,24.880301,70800
2018-08-16,26.266701,26.366699,25.986700,26.093300,24.905691,153150
2018-08-17,25.913300,25.913300,25.406700,25.760000,24.587559,112650
2018-08-20,25.200001,25.373301,25.000000,25.293301,24.260015,118500
2018-08-21,25.293301,25.293301,24.700001,24.840000,23.825230,96900
2018-08-22,24.840000,25.173300,24.486700,25.139999,24.112970,328500
2018-08-23,25.066700,25.139999,24.440001,24.546700,23.543913,120600
2018-08-24,24.540001,24.940001,24.406700,24.606701,23.601461,143550
2018-08-27,24.866699,25.413300,24.780001,25.333300,24.298380,88800
2018-08-28,25.273300,25.400000,25.206699,25.293301,24.260015,162600
2018-08-29,25.366699,25.620001,25.206699,25.233299,24.202461,336300
2018-08-30,25.233299,25.233299,24.700001,24.700001,23.690948,188700
2018-08-31,24.713301,25.326700,24.713301,24.933300,23.914721,196200
2018-09-03,24.900000,25.000000,24.840000,24.840000,23.839573,246450
2018-09-04,24.940001,24.986700,24.446699,24.446699,23.462111,371250
2018-09-05,24.413300,24.920000,24.400000,24.733299,23.737169,67500
2018-09-06,24.773300,25.260000,24.733299,25.093300,24.082668,73050
2018-09-10,25.266701,25.593300,25.200001,25.466700,24.441031,192150
2018-09-11,25.240000,25.240000,24.666700,24.920000,23.916348,242100
2018-09-12,25.126699,25.153299,24.360001,24.360001,23.378901,486000
2018-09-13,24.453300,24.633301,24.360001,24.426701,23.442921,75150
2018-09-14,24.426701,24.753300,24.400000,24.466700,23.481308,467250
2018-09-17,24.553301,25.120001,24.440001,25.020000,24.012318,119100
2018-09-18,25.059999,25.400000,24.993299,25.093300,24.082668,91350
2018-09-19,25.093300,25.379999,24.860001,25.193300,24.178644,122700
2018-09-20,25.266701,25.593300,24.980000,24.980000,23.973934,96000
2018-09-21,25.286699,25.986700,25.193300,25.193300,24.178644,506100
2018-09-24,25.206699,25.453300,24.673300,24.733299,23.737169,210450
2018-09-25,24.593300,24.860001,24.413300,24.660000,23.666822,240600
2018-09-26,24.853300,25.493299,24.840000,25.240000,24.223463,190500
2018-09-27,25.160000,25.633301,25.160000,25.559999,24.530573,77100
2018-09-28,25.459999,25.533300,25.133301,25.133301,24.121061,197400
2018-10-01,25.133301,25.606701,24.973301,25.133301,24.135464,129000
2018-10-02,25.566700,26.040001,25.566700,25.826700,24.801331,756900
2018-10-03,26.486700,27.666700,26.486700,27.059999,25.985670,350400
2018-10-04,27.053301,27.193300,26.366699,26.840000,25.774406,171450
2018-10-05,27.413300,27.573299,26.926701,27.126699,26.049723,219900
2018-10-08,28.400000,29.520000,28.206699,28.673300,27.534916,830850
2018-10-09,28.700001,28.766701,28.186701,28.400000,27.272469,384000
2018-10-10,28.393299,28.400000,27.526699,27.533300,26.440178,183300
2018-10-11,27.533300,27.886700,26.900000,27.206699,26.126545,454650
2018-10-15,27.233299,27.666700,27.166700,27.213301,26.132887,409650
2018-10-16,27.299999,28.266701,27.299999,28.139999,27.022789,1020750
2018-10-17,28.006701,28.459999,27.966700,28.333300,27.208416,428550
2018-10-18,28.400000,28.606701,27.666700,27.873301,26.766682,150150
2018-10-19,27.953300,28.100000,27.280001,27.626699,26.529867,360000
2018-10-22,27.633301,28.033300,27.573299,27.879999,26.773119,182550
2018-10-23,27.626699,27.866699,27.400000,27.860001,26.753908,122400
2018-10-24,27.833300,27.973301,27.133301,27.133301,26.056061,163500
2018-10-25,27.333300,27.933300,27.233299,27.793301,26.689857,164100
2018-10-26,27.793301,27.980000,27.473301,27.860001,26.753908,103500
2018-10-29,27.879999,28.113300,27.180000,27.633301,26.536211,287550
2018-10-30,27.459999,28.506701,26.966700,28.506701,27.374933,273750
2018-10-31,28.513300,28.866699,27.973301,28.260000,27.138031,254550
2018-11-01,28.139999,29.040001,28.139999,29.040001,27.901867,194100
2018-11-05,29.040001,29.753300,29.006701,29.753300,28.587215,501450
2018-11-06,29.733299,29.806700,29.333300,29.433300,28.279757,170100
2018-11-07,29.540001,29.920000,29.446699,29.853300,28.683294,157800
2018-11-08,29.846701,30.000000,29.040001,29.080000,27.940302,159900
2018-11-09,29.306700,29.686701,28.986700,29.686701,28.523222,89250
2018-11-12,29.733299,29.733299,29.219999,29.733299,28.567997,157350
2018-11-13,29.626699,29.773300,28.893299,29.166700,28.023603,237900
2018-11-14,29.320000,29.440001,28.866699,29.133301,27.991512,147600
2018-11-16,29.446699,30.066700,29.433300,30.000000,28.824244,308400
2018-11-19,30.066700,30.360001,29.940001,30.200001,29.016407,112200
